procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  71680 1463576   2128 839188    0    0  9216  1832 1551  532 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9344    88 1403  329 25  1 75  0  0
 2  0  71680 1463576   2128 839188    0    0  9216   368 1488  453 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9348    84 1378  373 25  0 75  0  0
 2  0  71680 1463576   2128 839188    0    0  9344     0 1423  435 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9216     0 1336  283 25  1 75  0  0
 2  0  71680 1463576   2128 839188    0    0  9344     0 1587  552 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9216     0 1529  596 25  1 75  0  0
 2  0  71680 1463576   2128 839188    0    0  9344    36 1476  469 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9216     0 1400  324 25  0 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9344     0 1533  450 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9216   340 1550  369 25  1 75  0  0
 2  0  71680 1463576   2128 839188    0    0  9216     0 1512  517 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9344    44 1442  359 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9216     0 1478  444 25  1 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  71680 1463576   2128 839188    0    0  9344     0 1378  335 25  1 75  0  0
 2  0  71680 1463576   2128 839188    0    0  9344     0 1455  427 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9216   104 1368  309 25  0 75  0  0
 2  0  71680 1463576   2128 839188    0    0 14904    56 1943  866 25  1 71  2  0
 2  0  71680 1463576   2128 839188    0    0 11664     0 1969 1633 30  3 67  1  0
 2  0  71680 1463576   2128 839188    0    0  9344     0 1419  440 25  1 74  0  0
 5  1  71680 1463576   2128 839188    0    0 23332   124 3683 4320 46  7 46  1  0
 3  0  71680 1463576   2128 839188    0 11552 24584 11688 5025 4828 58 10 31  1  0
 3  0  71680 1463576   2128 839188    0 10476  9416 11052 5535 1876 54  6 38  2  0
 3  0  71680 1463576   2128 839188    0 3268  9012  3268 5816 2049 56  5 39  0  0
 3  0  71680 1463576   2128 839188    0    0  8524 106760 3134 1403 30  4 57  9  0
 6  0  71680 1463576   2128 839188    0 21076  8868 21376 4017 2525 46 13 42  0  0
 2  0  71680 1463576   2128 839188    0    0  8704    80 2295 2132 34  3 63  0  0
 2  0  71680 1463576   2128 839188    0    0  9096  8880 1551  525 25  1 74  1  0
 2  0  71680 1463576   2128 839188    0    0  9220  1448 1633  500 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9088     0 1429  461 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9088     0 1385  364 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9216     0 1424  444 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9088     0 1394  362 25  0 75  0  0
 2  0  71680 1463576   2128 839188    0    0  9096  3708 1448  470 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9088     0 1382  377 25  1 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  71680 1463576   2128 839188    0    0  9088     0 1436  447 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9088     0 1471  402 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9088     0 1414  434 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9228   264 1388  340 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9088   260 1565  503 25  1 75  0  0
 2  0  71680 1463576   2128 839188    0    0  9088     0 1338  309 25  1 75  0  0
 2  0  71680 1463576   2128 839188    0 1736  9088  1736 1518  525 25  1 74  0  0
