procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 155648 1421780   2048 821640    0   10   944   303  426  267 23  2 75  1  0
 2  0 155648 1421780   2048 821640    0    0 17236     0 1906  885 22  2 74  2  0
 2  0 155648 1421780   2048 821640    0    0  1280     0 1274  312 25  1 74  0  0
 2  0 155648 1421780   2048 821640    0    0  1280     0 1399  446 25  1 74  0  0
 4  1 155648 1421780   2048 821640    0    0  1944   144 1569  820 26  1 72  0  0
 2  0 155648 1421780   2048 821640    0    0  1024     0 1460  521 25  1 74  0  0
 2  0 155648 1421780   2048 821640    0    0  1280     0 1402  430 25  1 74  0  0
 3  0 155648 1421780   2048 821640    0    0  1024     0 1363  490 25  1 74  0  0
 2  0 155648 1421780   2048 821640    0    0  1288   124 1384  456 25  0 74  0  0
 2  0 155648 1421780   2048 821640    0    0  1024     0 1443  461 25  1 74  0  0
 2  0 155648 1421780   2048 821640    0    0  1280     0 1269  316 25  0 75  0  0
 2  0 155648 1421780   2048 821640    0    0  1024     0 1455  493 25  1 74  0  0
 2  0 155648 1421780   2048 821640    0    0  1280     0 1382  452 25  0 74  0  0
 2  1 155648 1421780   2048 821640    0    0  2516    32 1505  627 25  1 74  1  0
 2  0 155648 1421780   2048 821640    0    0  3120  1832 1543  496 25  1 73  1  0
 2  0 155648 1421780   2048 821640    0    0  1024     0 1423  469 25  1 74  0  0
 2  0 155648 1421780   2048 821640    0    0  1280     0 1415  405 25  0 75  0  0
 2  0 155648 1421780   2048 821640    0    0  1024     0 1448  514 26  1 73  0  0
 2  0 155648 1421780   2048 821640    0    0  1280    88 1441  619 25  0 75  0  0
 2  0 155648 1421780   2048 821640    0    0  1024     0 1390  474 25  1 74  0  0
 2  0 155648 1421780   2048 821640    0    0  1288   360 1436  440 25  0 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 155648 1421780   2048 821640    0    0  1160   120 1437  518 25  1 74  0  0
 2  0 155648 1421780   2048 821640    0    0  1816     0 1380  395 25  1 74  0  0
 2  0 155648 1421780   2048 821640    0    0  1024     0 1373  471 25  1 74  0  0
 2  0 155648 1421780   2048 821640    0    0  1280     0 1321  331 25  0 75  0  0
 2  0 155648 1421780   2048 821640    0    0  1024     0 1387  485 25  1 74  0  0
 2  0 155648 1421780   2048 821640    0    0  1280    32 1275  314 25  0 74  0  0
 2  0 155648 1421780   2048 821640    0    0  1024     0 1330  413 25  1 74  0  0
 2  0 155648 1421780   2048 821640    0    0  1280     0 1454  465 25  0 74  0  0
 2  0 155648 1421780   2048 821640    0    0  1024     0 1345  415 25  1 74  0  0
 2  0 155648 1421780   2048 821640    0    0  1556   184 1333  376 25  1 74  0  0
 2  3 155648 1421780   2048 821640    0    0  1032  4036 1446  547 26  1 74  1  0
 2  0 155648 1421780   2048 821640    0    0  1280   572 1395  397 25  0 75  0  0
