procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 488704 1637396   7612 787860    5   15   179   228  611  599 24  3 72  0  0
 3  0 488704 1637396   7612 787860    0    0   228   160 4322 4160 27  2 70  0  0
 5  0 488704 1637396   7612 787860    0    0     0     0 4420 4318 29  2 69  1  0
 6  0 488704 1637396   7612 787860    0    0     0     0 4397 4525 29  2 70  0  0
 3  0 488704 1637396   7612 787860    0    0   124     0 4572 4970 29  2 69  0  0
 4  0 488704 1637396   7612 787860    0    0     0     0 4165 4007 28  2 71  0  0
 4  0 488704 1637396   7612 787860    0    0  1303   304 4679 4731 28  3 68  0  0
 3  0 488704 1637396   7612 787860    0    0     4   808 4452 4981 29  2 69  0  0
 6  0 488704 1637396   7612 787860    0    0   416     0 4925 5795 33  3 63  0  0
 2  0 488704 1637396   7612 787860    0    0     0     0 4442 4779 29  2 70  0  0
 2  0 488704 1637396   7612 787860    0    0     0     0 4391 4587 29  2 69  0  0
 3  0 488704 1637396   7612 787860    0    0     0   280 4597 5348 30  2 68  0  0
 2  0 488704 1637396   7612 787860    0    0     0   508 4563 4559 29  2 68  1  0
 2  0 488704 1637396   7612 787860    0    0    16   136 4988 5739 41  4 56  0  0
 3  0 488704 1637396   7612 787860    0    0    12   832 4857 5540 30  3 67  0  0
 2  0 488704 1637396   7612 787860    0    0  1632    12 5361 6837 46  5 49  1  0
 2  0 488704 1637396   7612 787860    0    0    16     4 4723 5286 34  3 63  0  0
 5  0 488704 1637396   7612 787860    0    0     4   456 4789 5225 32  3 66  0  0
 2  0 488704 1637396   7612 787860    0    0   148   288 5167 7435 49  7 44  0  0
 2  0 488704 1637396   7612 787860    0    0   336  3880 5037 5569 44  6 50  0  0
 2  0 488704 1637396   7612 787860    0    0     8    20 4477 4621 29  3 69  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 488704 1637396   7612 787860    0    0     0     0 4549 5177 29  2 69  0  0
 2  0 488704 1637396   7612 787860    0    0     0     0 4431 4960 29  2 69  0  0
 2  0 488704 1637396   7612 787860    0    0     0   156 4361 3831 28  1 71  0  0
 2  0 488704 1637396   7612 787860    0    0  8544   184 4625 4246 28  2 68  2  0
 3  0 488704 1637396   7612 787860    0    0     0    44 4116 3802 28  2 71  0  0
 2  0 488704 1637396   7612 787860    0    0     0     0 4269 3786 28  2 71  0  0
