procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 488192 1554280   5600 728872    4   13   174   214  616  596 24  3 72  0  0
 2  0 488192 1554280   5600 728872    0    0   128   256 2151 1145 25  2 73  1  0
 2  0 488192 1554280   5600 728872    0    0     0   176 2055 1158 25  1 74  0  0
 3  0 488192 1554280   5600 728872    0    0     0     0 2100 1128 25  1 74  0  0
 2  0 488192 1554280   5600 728872    0    0   440     0 3978 4093 36  4 60  0  0
 2  0 488192 1554280   5600 728872    0    0    16     0 2846 1601 40  1 59  0  0
 4  0 488192 1554280   5600 728872    0    0     4     0 2368 2269 29  2 68  0  0
 5  0 488192 1554280   5600 728872    0    0  2316  1616 5608 6538 68 11 20  0  0
 2  0 488192 1554280   5600 728872    0    0     0     0 2275 1196 25  2 73  0  0
 2  0 488192 1554280   5600 728872    0    0     4   628 2707 1915 27  1 72  0  0
 3  0 488192 1554280   5600 728872    0    0     0     0 2630 1725 26  1 73  0  0
 2  0 488192 1554280   5600 728872    0    0    28   540 3080 3009 32  2 65  0  0
 2  0 488192 1554280   5600 728872    0    0    12     0 1998 1217 26  1 73  0  0
 2  0 488192 1554280   5600 728872    0    0     0     0 1872 1015 25  1 74  0  0
