procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 109824 2527184   1944 455752    0    3   805   234  314  164 18  1 80  0  0
 2  0 109824 2527184   1944 455752    0    0 48136     0 2102  977 22  3 74  2  0
 2  0 109824 2527184   1944 455752    0    0 37888     0 1664  584 25  1 75  0  0
 2  0 109824 2527184   1944 455752    0    0 38200     0 1612  544 25  1 74  0  0
 2  0 109824 2527184   1944 455752    0    0 38144     0 1430  276 25  1 75  0  0
 2  0 109824 2527184   1944 455752    0    0 37888    56 1622  446 25  1 74  0  0
 2  0 109824 2527184   1944 455752    0    0 37888    16 1415  294 25  1 75  0  0
 2  0 109824 2527184   1944 455752    0    0 38288   112 1536  426 25  1 74  0  0
 2  0 109824 2527184   1944 455752    0    0 38144     0 1553  344 25  1 74  0  0
 2  0 109824 2527184   1944 455752    0    0 38144     0 1508  400 25  1 74  0  0
 2  0 109824 2527184   1944 455752    0    0 37888    76 1503  316 25  1 75  0  0
