procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  71680 1323596   1872 854928    1   24  1018   300  634  768 14  5 80  1  0
 2  0  71680 1323596   1872 854928    0    0 24140     0 1856  794 22  2 73  3  0
 2  0  71680 1323596   1872 854928    0    0  9344     0 1307  270 25  1 75  0  0
 2  0  71680 1323596   1872 854928    0    0  9616   196 1763  832 29  1 69  1  0
 2  0  71680 1323596   1872 854928    0    0  9528     0 1576  387 29  1 71  0  0
 2  0  71680 1323596   1872 854928    0    0  9348     0 1409  438 25  1 74  0  0
 2  0  71680 1323596   1872 854928    0    0  9564     0 1492  597 26  1 73  0  0
 2  0  71680 1323596   1872 854928    0    0  9344     0 1326  321 25  1 74  0  0
 2  0  71680 1323596   1872 854928    0    0  9348    56 1342  280 25  1 75  0  0
 2  0  71680 1323596   1872 854928    0    0  9344     0 1360  303 25  1 74  0  0
 2  0  71680 1323596   1872 854928    0    0  9344     0 1257  213 25  0 75  0  0
 2  0  71680 1323596   1872 854928    0    0  9480   516 1411  360 25  1 75  0  0
