procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  90624 2519552   1840 468364    0    0  1280    52 1359  412 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1416  561 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1307  383 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1280  317 25  0 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1332  406 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024   404 1365  373 25  0 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1312  388 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1261  281 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1324  394 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1265  291 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280    36 1362  419 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1289  291 25  1 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1303  378 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1257  266 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1284  2460 1438  440 25  1 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  90624 2519552   1840 468364    0    0  1024    48 1314  313 25  0 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1318  435 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1211  260 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1311  405 26  0 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1309  313 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024    32 1406  472 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     4 1239  280 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1298  383 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1345  332 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1413  449 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280    88 1330  353 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1393  407 25  0 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1264  284 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1286  377 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1224  284 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024    68 1420  430 25  1 74  0  0
 3  0  90624 2519552   1840 468364    0    0  1280     0 1373  359 25  0 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1287  374 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1349  351 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1319  385 25  0 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280    32 1294  311 25  1 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  90624 2519552   1840 468364    0    0  1280   744 1561  532 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1346  325 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1391  473 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1261  298 25  0 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1347  414 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024    36 1368  362 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1373  433 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1380  348 25  0 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1314  398 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1028  3304 1259  287 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280    48 1424  471 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1247  274 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1322  408 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1210  268 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280   288 1361  416 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024    40 1251  292 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1306  393 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1231  262 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1354  428 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1362  341 25  1 74  0  0
 4  0  90624 2519552   1840 468364    0    0  1024    76 1358  426 25  0 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  90624 2519552   1840 468364    0    0  1280     0 1224  275 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1368  430 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1243  288 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1348  430 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280    68 1278  282 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1342  390 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1486  559 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1484  497 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1270  284 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024  2420 1337  412 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280   764 1481  447 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1376  415 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1314  322 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1322  417 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1283  279 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024    36 1344  404 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1243  283 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1447  444 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1251  271 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1357  423 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280    32 1305  323 25  0 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  90624 2519552   1840 468364    0    0  1024     0 1368  405 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1215  268 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1389  409 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1245  282 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280    32 1412  459 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1433  386 25  0 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1334  402 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1262  277 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1386  423 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024    32 1242  277 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1316  372 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024    40 1244  279 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1322  404 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1267  298 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280    72 1358  424 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1203  266 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1358  414 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     4 1265  290 25  0 74  0  0
 2  0  90624 2519552   1840 468364    0    0  6824  3608 1885  881 25  2 71  2  0
 2  0  90624 2519552   1840 468364    0    0  1024   108 1239  288 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280   784 1566  533 25  1 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  90624 2519552   1840 468364    0    0  1024     0 1263  305 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1326  384 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1269  303 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024    52 1413  447 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1218  273 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024    12 1388  440 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1270  278 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1336  419 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280    44 1229  283 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1347  411 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280   272 1307  315 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1376  435 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1214  273 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1415  491 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280    52 1328  377 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1376  432 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1260  278 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1340  400 25  0 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024   328 1359  325 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280    68 1383  419 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1261  279 25  0 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  90624 2519552   1840 468364    0    0  1280     0 1333  380 25  1 75  0  0
