procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 109824 2580924   1784 454816    0    3   799   214  314  165 18  1 81  0  0
 2  0 109824 2580924   1784 454816    0    0 17088     0 1673  655 22  2 75  2  0
 2  0 109824 2580924   1784 454816    0    0  1280     0 1221  282 25  1 74  0  0
 2  0 109824 2580924   1784 454816    0    0  1592     0 1206  246 25  1 75  0  0
 2  0 109824 2580924   1784 454816    0    0  1024     0 1361  363 25  1 74  0  0
 2  0 109824 2580924   1784 454816    0    0  1280    72 1156  196 25  0 75  0  0
 2  0 109824 2580924   1784 454816    0    0  1280     0 1265  344 25  1 74  0  0
 2  0 109824 2580924   1784 454816    0    0  1024     0 1368  461 25  0 75  0  0
 2  0 109824 2580924   1784 454816    0    0  1280     0 1324  375 25  1 74  0  0
 2  0 109824 2580924   1784 454816    0    0  1024     0 1220  219 25  0 75  0  0
 2  0 109824 2580924   1784 454816    0    0  1280    32 1242  307 25  1 74  0  0
 2  0 109824 2580924   1784 454816    0    0  1024   284 1205  213 25  0 75  0  0
 2  0 109824 2580924   1784 454816    0    0  1280     0 1326  326 25  1 74  0  0
 2  0 109824 2580924   1784 454816    0    0  1024     0 1199  235 25  0 75  0  0
 2  0 109824 2580924   1784 454816    0    0  1280     0 1253  309 25  1 74  0  0
 2  0 109824 2580924   1784 454816    0    0  1024    36 1297  330 25  0 75  0  0
 2  0 109824 2580924   1784 454816    0    0  1280     0 1370  399 25  1 74  0  0
 2  0 109824 2580924   1784 454816    0    0  1024     0 1306  429 25  0 74  0  0
 2  0 109824 2580924   1784 454816    0    0  1280     0 1308  389 25  0 75  0  0
 2  0 109824 2580924   1784 454816    0    0  1024     0 1256  310 25  0 75  0  0
 2  0 109824 2580924   1784 454816    0    0  1280    32 1316  391 25  0 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 109824 2580924   1784 454816    0    0  1280     0 1230  290 25  0 75  0  0
 2  0 109824 2580924   1784 454816    0    0  1024     0 1279  367 25  1 74  0  0
 2  0 109824 2580924   1784 454816    0    0  1280     0 1352  371 25  0 75  0  0
 2  0 109824 2580924   1784 454816    0    0  1024     0 1362  419 25  1 74  0  0
 2  0 109824 2580924   1784 454816    0    0  1280    32 1290  343 25  0 75  0  0
 2  0 109824 2580924   1784 454816    0    0  1028     0 1273  375 25  1 74  0  0
 2  0 109824 2580924   1784 454816    0    0  1280     0 1273  302 25  0 75  0  0
 2  0 109824 2580924   1784 454816    0    0  1024     0 1352  393 25  1 75  0  0
 2  0 109824 2580924   1784 454816    0    0  1280     0 1304  329 25  1 75  0  0
 2  0 109824 2580924   1784 454816    0    0  1024     0 1318  384 25  0 75  0  0
 2  0 109824 2580924   1784 454816    0    0  1284  3868 1269  339 25  1 74  0  0
 2  0 109824 2580924   1784 454816    0    0  1024     0 1351  402 25  1 74  0  0
 2  0 109824 2580924   1784 454816    0    0  1280     0 1346  337 25  0 75  0  0
 2  0 109824 2580924   1784 454816    0    0  1024     0 1369  459 25  1 74  0  0
 2  0 109824 2580924   1784 454816    0    0  4004     0 1444  477 25  1 74  1  0
 2  0 109824 2580924   1784 454816    0    0  1028   172 1368  429 25  1 74  0  0
 2  0 109824 2580924   1784 454816    0    0  7360     0 1730  793 25  1 72  2  0
 2  0 109824 2580924   1784 454816    0    0  1024     0 1352  424 25  1 74  0  0
 2  0 109824 2580924   1784 454816    0    0  1280     0 1316  321 25  0 75  0  0
 2  0 109824 2580924   1784 454816    0    0  1024     0 1357  413 25  0 74  0  0
 2  0 109824 2580924   1784 454816    0    0  1280    52 1292  301 25  0 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 109824 2580924   1784 454816    0    0  1024     0 1351  378 25  1 74  0  0
 2  0 109824 2580924   1784 454816    0    0  1280   936 1491  468 25  0 75  0  0
 3  0 109824 2580924   1784 454816    0    0  1024     0 1335  406 25  1 74  0  0
 2  0 109824 2580924   1784 454816    0    0  1280     0 1281  308 25  0 75  0  0
 2  0 109824 2580924   1784 454816    0    0  1280    36 1393  427 25  1 74  0  0
