procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 961588 2181836   2064 574860    0    0  8216  4956 1578  527 25  1 73  1  0
 2  0 961588 2181836   2064 574860    0    0  7040     0 1356  318 25  1 75  0  0
 2  0 961588 2181836   2064 574860    0    0  7936     0 1453  431 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7936   564 1670  486 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7808    32 1449  434 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  8892  7732 2133 1709 30  3 66  2  0
 2  0 961588 2181836   2064 574860    0    0  7296     0 1435  427 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0 20244   156 2604 2472 34  4 61  2  0
 2  0 961588 2181836   2064 574860    0    0  7296     0 1434  430 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7936     0 1406  360 25  1 75  0  0
 2  0 961588 2181836   2064 574860    0    0  8340     0 1667  770 26  2 73  0  0
 2  0 961588 2181836   2064 574860    0    0  7296     0 1341  342 25  1 75  0  0
 2  0 961588 2181836   2064 574860    0    0  7560    76 1481  461 25  1 75  0  0
 2  0 961588 2181836   2064 574860    0    0  7936     0 1451  375 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7936     0 1421  441 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7040   496 1465  430 25  1 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 961588 2181836   2064 574860    0    0  7936     0 1436  442 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7808     0 1374  352 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7936     0 1369  385 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7424     0 1348  313 25  1 75  0  0
 2  0 961588 2181836   2064 574860    0    0  7684   272 1872  834 29  1 70  1  0
 2  0 961588 2181836   2064 574860    0    0  7936    12 1722  419 29  1 71  0  0
 2  0 961588 2181836   2064 574860    0    0  7684 17108 1642  539 25  1 73  1  0
 2  0 961588 2181836   2064 574860    0    0  7296     0 1360  366 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7808     0 1471  457 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7944   280 1489  437 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7168     0 1378  399 25  1 75  0  0
 3  0 961588 2181836   2064 574860    0    0  7824 24504 1409  353 25  1 73  1  0
 2  0 961588 2181836   2064 574860    0    0  7940  9496 1469  464 25  1 74  1  0
 2  0 961588 2181836   2064 574860    0    0  7808     0 1329  357 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7040  2008 1486  534 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7936  1020 1589  495 25  0 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7944     0 1595  581 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7296     0 1310  302 25  1 75  0  0
 2  0 961588 2181836   2064 574860    0    0  7680     0 1523  458 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7808    60 1375  411 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7936    48 1541  484 25  1 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 961588 2181836   2064 574860    0    0  7068    96 1617  608 26  1 73  0  0
 2  0 961588 2181836   2064 574860    0    0  7936     0 1613  490 26  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7936     0 1440  356 25  1 75  0  0
 2  0 961588 2181836   2064 574860    0    0  7552     0 1433  414 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7424   200 1383  355 25  0 75  0  0
 2  0 961588 2181836   2064 574860    0    0  7808    56 1504  451 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7936     0 1307  281 25  0 75  0  0
 2  0 961588 2181836   2064 574860    0    0  7808     0 1433  407 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7168     0 1486  435 25  0 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7936    64 1379  396 25  1 74  0  0
