procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 488192 3001408   5260 351908    4   11   161   197  582  559 22  3 74  0  0
 4  0 488192 3001408   5260 351908    0    0    68    92 1455  533 25  1 74  0  0
 4  0 488192 3001408   5260 351908    0    0     0     0 1416  447 25  1 74  0  0
 3  0 488192 3001408   5260 351908    0    0     0     0 1395  400 25  1 75  0  0
 2  0 488192 3001408   5260 351908    0    0     0     0 1429  482 25  1 74  0  0
 2  0 488192 3001408   5260 351908    0    0     0     0 1312  347 25  1 75  0  0
 2  0 488192 3001408   5260 351908    0    0     0    36 1418  503 25  1 74  0  0
 2  0 488192 3001408   5260 351908    0    0     0     0 1335  369 25  0 74  0  0
 2  0 488192 3001408   5260 351908    0    0     0     0 1411  476 25  1 74  0  0
 2  0 488192 3001408   5260 351908    0    0     0     0 1430  412 25  0 74  0  0
 2  0 488192 3001408   5260 351908    0    0     0     0 1349  444 25  1 74  0  0
 2  0 488192 3001408   5260 351908    0    0     0   984 1504  468 25  0 74  0  0
 2  0 488192 3001408   5260 351908    0    0     0     0 1396  474 25  1 75  0  0
 2  0 488192 3001408   5260 351908    0    0     0     0 1402  405 25  1 74  0  0
 2  0 488192 3001408   5260 351908    0    0     0     0 1429  496 25  1 74  0  0
 2  0 488192 3001408   5260 351908    0    0     0   348 1514  460 25  0 75  0  0
 2  0 488192 3001408   5260 351908    0    0     0     0 1423  501 25  1 74  0  0
 2  0 488192 3001408   5260 351908    0    0     0    44 1380  387 25  0 75  0  0
 2  0 488192 3001408   5260 351908    0    0     0     0 1403  477 25  1 74  0  0
 2  0 488192 3001408   5260 351908    0    0     0     0 1609  540 24  2 75  0  0
 2  0 488192 3001408   5260 351908    0    0  7612   100 2058 1064 25  2 71  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 488192 3001408   5260 351908    0    0     4   188 1419  411 25  1 74  0  0
 2  0 488192 3001408   5260 351908    0    0     0     0 1389  461 25  1 74  0  0
 2  0 488192 3001408   5260 351908    0    0     0    36 1428  423 25  1 74  0  0
 2  0 488192 3001408   5260 351908    0    0     0     0 1493  513 25  1 74  0  0
 2  0 488192 3001408   5260 351908    0    0     0    80 1424  419 25  1 75  0  0
 2  0 488192 3001408   5260 351908    0    0     0  1776 1508  537 25  1 74  0  0
 2  0 488192 3001408   5260 351908    0    0     0     0 1392  388 25  0 75  0  0
 2  0 488192 3001408   5260 351908    0    0     0    44 1453  498 25  1 74  0  0
 2  0 488192 3001408   5260 351908    0    0     0     0 1399  486 25  0 75  0  0
 2  0 488192 3001408   5260 351908    0    0     0    76 1362  456 25  1 74  0  0
 2  0 488192 3001408   5260 351908    0    0     0     0 1390  395 25  0 75  0  0
 2  0 488192 3001408   5260 351908    0    0     0     0 1349  440 25  1 74  0  0
 2  0 488192 3001408   5260 351908    0    0     0    36 1536  672 25  0 74  0  0
 2  0 488192 3001408   5260 351908    0    0     0     0 1397  449 25  1 74  0  0
 2  0 488192 3001408   5260 351908    0    0     0    48 1292  361 25  0 74  0  0
 2  0 488192 3001408   5260 351908    0    0     0     0 1347  443 25  1 74  0  0
