procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 488192 2988584   5948 355872    4   11   160   195  580  555 22  3 74  0  0
 2  0 488192 2988584   5948 355872    0    0     0     0 1338  391 25  1 74  0  0
 2  0 488192 2988584   5948 355872    0    0     0     0 1387  470 25  1 74  0  0
 2  0 488192 2988584   5948 355872    0    0     0     0 1408  408 25  1 75  0  0
 2  0 488192 2988584   5948 355872    0    0     0     0 1529  569 25  1 74  0  0
 2  0 488192 2988584   5948 355872    0    0     0    84 1297  332 25  1 75  0  0
 2  0 488192 2988584   5948 355872    0    0     0     0 1487  556 25  1 74  0  0
 2  0 488192 2988584   5948 355872    0    0     0   188 1331  349 25  1 75  0  0
 2  0 488192 2988584   5948 355872    0    0     0     0 1400  496 25  1 74  0  0
 2  0 488192 2988584   5948 355872    0    0     0    44 1291  362 25  0 75  0  0
 2  0 488192 2988584   5948 355872    0    0     0    64 1385  457 25  1 74  0  0
 2  0 488192 2988584   5948 355872    0    0     0     0 1361  368 25  0 75  0  0
 2  0 488192 2988584   5948 355872    0    0     0     0 1504  601 25  1 74  0  0
 2  0 488192 2988584   5948 355872    0    0     0     0 1368  374 25  0 74  0  0
 2  0 488192 2988584   5948 355872    0    0     0     0 1408  482 25  1 74  0  0
 2  0 488192 2988584   5948 355872    0    0     0    36 1346  380 25  0 75  0  0
 2  0 488192 2988584   5948 355872    0    0     0    16 1513  513 25  1 74  0  0
 2  0 488192 2988584   5948 355872    0    0     0     8 1318  336 25  1 75  0  0
 2  0 488192 2988584   5948 355872    0    0     0     0 1475  495 25  1 74  0  0
 2  0 488192 2988584   5948 355872    0    0     0   828 1622  580 25  1 75  0  0
 2  0 488192 2988584   5948 355872    0    0     0   100 1513  520 24  1 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 488192 2988584   5948 355872    0    0     0     0 1343  376 25  1 75  0  0
 2  0 488192 2988584   5948 355872    0    0     0   192 1630  801 25  1 74  0  0
 2  0 488192 2988584   5948 355872    0    0     0     0 1494  463 25  1 74  0  0
 2  0 488192 2988584   5948 355872    0    0     0     0 1427  518 25  1 74  0  0
 2  0 488192 2988584   5948 355872    0    0     0    48 1367  401 25  1 74  0  0
 2  0 488192 2988584   5948 355872    0    0     0     0 1365  477 25  1 74  0  0
 2  0 488192 2988584   5948 355872    0    0     0    32 1330  358 25  0 75  0  0
 2  0 488192 2988584   5948 355872    0    0     0     0 1497  501 25  1 74  0  0
 2  0 488192 2988584   5948 355872    0    0     0     0 1354  359 25  0 75  0  0
 2  0 488192 2988584   5948 355872    0    0     0    48 1422  472 25  1 74  0  0
 2  0 488192 2988584   5948 355872    0    0     0     0 1364  375 25  0 75  0  0
 2  0 488192 2988584   5948 355872    0    0     0   200 1426  462 25  1 74  0  0
 2  0 488192 2988584   5948 355872    0    0     0     0 1279  351 25  0 75  0  0
 2  0 488192 2988584   5948 355872    0    0     0     0 1346  439 25  1 74  0  0
 2  0 488192 2988584   5948 355872    0    0     0    56 1438  424 25  0 74  0  0
 2  0 488192 2988584   5948 355872    0    0     0   340 1454  478 25  1 74  0  0
 2  0 488192 2988584   5948 355872    0    0     0   192 1342  329 25  0 74  0  0
