procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 488192 2998708   5884 347332    4   12   163   202  590  571 23  3 74  0  0
 2  0 488192 2998708   5884 347332    0    0     0     0 1563  566 25  1 74  0  0
 2  0 488192 2998708   5884 347332    0    0     0     0 1478  501 25  1 74  0  0
 3  0 488192 2998708   5884 347332    0    0     0    88 1385  384 25  1 74  0  0
 2  0 488192 2998708   5884 347332    0    0     0     0 1428  486 25  1 74  0  0
 2  0 488192 2998708   5884 347332    0    0     0     0 1329  373 25  1 75  0  0
 3  0 488192 2998708   5884 347332    0    0     0     0 1407  472 25  1 74  0  0
 2  0 488192 2998708   5884 347332    0    0     0     0 1337  355 25  1 75  0  0
 2  0 488192 2998708   5884 347332    0    0     4    36 1559  568 25  1 74  0  0
 2  0 488192 2998708   5884 347332    0    0     0     8 1401  401 25  0 74  0  0
 2  0 488192 2998708   5884 347332    0    0     0     0 1408  482 25  1 74  0  0
 2  0 488192 2998708   5884 347332    0    0     0     0 1370  408 25  0 74  0  0
 2  0 488192 2998708   5884 347332    0    0     0     0 1421  450 25  1 74  0  0
 2  0 488192 2998708   5884 347332    0    0     0    56 1516  475 25  0 74  0  0
 2  0 488192 2998708   5884 347332    0    0     0   184 1855  946 24  2 74  0  0
 2  0 488192 2998708   5884 347332    0    0     0   192 1368  409 25  1 75  0  0
 2  0 488192 2998708   5884 347332    0    0     0     0 1453  529 25  1 74  0  0
 2  0 488192 2998708   5884 347332    0    0     0     0 1469  429 25  1 74  0  0
 2  0 488192 2998708   5884 347332    0    0     0    84 1419  454 25  1 74  0  0
 2  0 488192 2998708   5884 347332    0    0     0     8 1420  440 25  1 74  0  0
 2  0 488192 2998708   5884 347332    0    0     0     0 1447  511 25  1 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 488192 2998708   5884 347332    0    0     0    40 1433  459 25  1 74  0  0
 2  0 488192 2998708   5884 347332    0    0     0     0 1483  512 25  1 74  0  0
 2  0 488192 2998708   5884 347332    0    0     0    72 1452  439 26  1 74  0  0
 2  0 488192 2998708   5884 347332    0    0     0    48 1489  495 25  1 74  0  0
 2  0 488192 2998708   5884 347332    0    0     0     0 1365  346 25  0 75  0  0
 2  0 488192 2998708   5884 347332    0    0     0  1252 1650  562 25  1 74  0  0
 2  0 488192 2998708   5884 347332    0    0     0     0 1399  387 25  0 75  0  0
